date,cs,in_flow,out_flow
2020-12-09,164752.0,-999.0,-999.0
2020-12-10,164629.0,-18.0,504.0
2020-12-11,164549.0,-20.0,504.0
2020-12-12,164534.0,23.0,504.0
2020-12-13,164474.0,-16.0,504.0
2020-12-14,165305.0,416.0,504.0
2020-12-15,165266.0,17.0,504.0
2020-12-16,165196.0,-18.0,504.0
2020-12-17,165107.0,-26.0,504.0
2020-12-18,164988.0,-40.0,504.0
2020-12-19,164907.0,-30.0,504.0
2020-12-20,164837.0,-7.0,504.0
2020-12-21,164765.0,-15.0,504.0
2020-12-22,164668.0,-14.0,504.0
2020-12-23,164576.0,-17.0,504.0
2020-12-24,164431.0,-41.0,504.0
2020-12-25,164260.0,-71.0,504.0
2020-12-26,164160.0,-39.0,504.0
2020-12-27,164042.0,-25.0,504.0
2020-12-28,163882.0,-52.0,504.0
2020-12-29,163851.0,-7.0,504.0
2020-12-30,163855.0,33.0,504.0
2020-12-31,164005.0,96.0,504.0
2021-01-01,167330.0,1483.0,504.0
2021-01-02,167610.0,401.0,504.0
2021-01-03,167627.0,76.0,504.0
2021-01-04,167578.0,38.0,504.0
2021-01-05,167537.0,26.0,504.0
2021-01-06,167498.0,40.0,504.0
2021-01-07,167357.0,-17.0,504.0
2021-01-08,167245.0,3.0,504.0
2021-01-09,167170.0,-9.0,504.0
2021-01-10,167040.0,-1.0,504.0
2021-01-11,167274.0,146.0,504.0
2021-01-12,167250.0,39.0,504.0
2021-01-13,167202.0,30.0,504.0
2021-01-14,167132.0,18.0,504.0
2021-01-15,167003.0,-3.0,504.0
2021-01-16,166853.0,-21.0,504.0
2021-01-17,166703.0,-34.0,504.0
2021-01-18,166636.0,14.0,504.0
2021-01-19,166515.0,10.0,504.0
2021-01-20,166485.0,14.0,504.0
2021-01-21,166555.0,88.0,504.0
2021-01-22,166562.0,58.0,504.0
2021-01-23,166564.0,55.0,504.0
2021-01-24,166563.0,52.0,504.0
2021-01-25,167487.0,376.0,504.0
2021-01-26,167793.0,366.0,504.0
2021-01-27,167781.0,54.0,504.0
2021-01-28,167719.0,22.0,504.0
2021-01-29,167715.0,22.0,504.0
2021-01-30,167571.0,40.0,504.0
2021-01-31,167499.0,14.0,504.0
2021-02-01,167355.0,-12.0,504.0
2021-02-02,167283.0,6.0,504.0
2021-02-03,167211.0,15.0,504.0
2021-02-04,167283.0,23.0,504.0
2021-02-05,166995.0,12.0,504.0
2021-02-06,166995.0,9.0,504.0
2021-02-07,166923.0,0.0,504.0
2021-02-08,166851.0,12.0,504.0
2021-02-09,166707.0,-2.0,504.0
2021-02-10,166491.0,-19.0,504.0
