08210500 Elevation,08210500 Capacity
35.7,0.0
35.8,0.0
35.9,0.01
36.0,0.02
36.1,0.03
36.2,0.04
36.3,0.05
36.4,0.07
36.5,0.09
36.6,0.11
36.7,0.13
36.8,0.15
36.9,0.17
37.0,0.2
37.1,0.23
37.2,0.26
37.3,0.29
37.4,0.32
37.5,0.36
37.6,0.39
37.7,0.43
37.8,0.47
37.9,0.51
38.0,0.56
38.1,0.6
38.2,0.65
38.3,0.7
38.4,0.75
38.5,0.81
38.6,0.87
38.7,0.93
38.8,0.99
38.9,1.06
39.0,1.13
39.1,1.2
39.2,1.27
39.3,1.35
39.4,1.43
39.5,1.52
39.6,1.61
39.7,1.7
39.8,1.79
39.9,1.89
40.0,2.0
40.1,2.11
40.2,2.22
40.3,2.34
40.4,2.46
40.5,2.59
40.6,2.73
40.7,2.87
40.8,3.01
40.9,3.17
41.0,3.33
41.1,3.49
41.2,3.67
41.3,3.85
41.4,4.04
41.5,4.24
41.6,4.45
41.7,4.67
41.8,4.89
41.9,5.13
42.0,5.38
42.1,5.64
42.2,5.91
42.3,6.19
42.4,6.48
42.5,6.79
42.6,7.11
42.7,7.45
42.8,7.8
42.9,8.18
43.0,8.57
43.1,8.98
43.2,9.41
43.3,9.86
43.4,10.33
43.5,10.82
43.6,11.33
43.7,11.88
43.8,12.46
43.9,13.09
44.0,13.76
44.1,14.48
44.2,15.22
44.3,15.99
44.4,16.8
44.5,17.64
44.6,18.52
44.7,19.43
44.8,20.37
44.9,21.35
45.0,22.36
45.1,23.4
45.2,24.48
45.3,25.59
45.4,26.74
45.5,27.92
45.6,29.13
45.7,30.38
45.8,31.66
45.9,32.97
46.0,34.31
46.1,35.69
46.2,37.1
46.3,38.55
46.4,40.02
46.5,41.53
46.6,43.07
46.7,44.65
46.8,46.25
46.9,47.89
47.0,49.55
47.1,51.25
47.2,52.98
47.3,54.74
47.4,56.53
47.5,58.35
47.6,60.2
47.7,62.09
47.8,64.0
47.9,65.94
48.0,67.92
48.1,69.92
48.2,71.95
48.3,74.02
48.4,76.11
48.5,78.23
48.6,80.38
48.7,82.56
48.8,84.77
48.9,87.0
49.0,89.27
49.1,91.56
49.2,93.88
49.3,96.23
49.4,98.61
49.5,101.01
49.6,103.44
49.7,105.91
49.8,108.39
49.9,110.91
50.0,113.45
50.1,116.02
50.2,118.62
50.3,121.24
50.4,123.89
50.5,126.57
50.6,129.27
50.7,132.0
50.8,134.76
50.9,137.54
51.0,140.34
51.1,143.18
51.2,146.03
51.3,148.92
51.4,151.83
51.5,154.76
51.6,157.72
51.7,160.7
51.8,163.7
51.9,166.73
52.0,169.79
52.1,172.87
52.2,175.99
52.3,179.13
52.4,182.31
52.5,185.52
52.6,188.77
52.7,192.05
52.8,195.38
52.9,198.74
53.0,202.14
53.1,205.57
53.2,209.03
53.3,212.53
53.4,216.06
53.5,219.62
53.6,223.22
53.7,226.86
53.8,230.53
53.9,234.24
54.0,237.98
54.1,241.76
54.2,245.58
54.3,249.44
54.4,253.33
54.5,257.26
54.6,261.24
54.7,265.26
54.8,269.32
54.9,273.44
55.0,277.6
55.1,281.83
55.2,286.11
55.3,290.45
55.4,294.86
55.5,299.32
55.6,303.86
55.7,308.47
55.8,313.16
55.9,317.94
56.0,322.8
56.1,327.77
56.2,332.85
56.3,338.04
56.4,343.36
56.5,348.82
56.6,354.46
56.7,360.27
56.8,366.28
56.9,372.51
57.0,378.97
57.1,385.68
57.2,392.6
57.3,399.74
57.4,407.09
57.5,414.65
57.6,422.42
57.7,430.41
57.8,438.62
57.9,447.06
58.0,455.72
58.1,464.62
58.2,473.75
58.3,483.12
58.4,492.77
58.5,502.71
58.6,512.97
58.7,523.61
58.8,534.69
58.9,546.19
59.0,558.17
59.1,570.7
59.2,583.8
59.3,597.54
59.4,611.97
59.5,627.11
59.6,643.01
59.7,659.74
59.8,677.23
59.9,695.46
60.0,714.43
60.1,734.18
60.2,754.71
60.3,776.09
60.4,798.31
60.5,821.36
60.6,845.26
60.7,870.16
60.8,896.12
60.9,923.26
61.0,951.69
61.1,981.61
61.2,1013.15
61.3,1046.46
61.4,1081.73
61.5,1119.15
61.6,1158.95
61.7,1201.17
61.8,1245.86
61.9,1292.75
62.0,1341.64
62.1,1392.45
62.2,1445.08
62.3,1499.37
62.4,1555.09
62.5,1612.05
62.6,1670.2
62.7,1729.59
62.8,1790.2
62.9,1852.06
63.0,1915.24
63.1,1979.91
63.2,2046.16
63.3,2114.1
63.4,2183.88
63.5,2255.62
63.6,2329.47
63.7,2405.49
63.8,2483.5
63.9,2563.33
64.0,2644.72
64.1,2727.56
64.2,2811.85
64.3,2897.72
64.4,2985.2
64.5,3074.37
64.6,3165.55
64.7,3258.61
64.8,3353.69
64.9,3451.02
65.0,3550.85
65.1,3653.29
65.2,3758.53
65.3,3866.81
65.4,3977.9
65.5,4091.47
65.6,4207.28
65.7,4325.2
65.8,4444.95
65.9,4566.11
66.0,4688.32
66.1,4811.49
66.2,4935.65
66.3,5060.97
66.4,5187.44
66.5,5315.05
66.6,5443.78
66.7,5573.69
66.8,5704.8
66.9,5837.27
67.0,5971.17
67.1,6106.47
67.2,6243.2
67.3,6381.26
67.4,6520.56
67.5,6661.13
67.6,6803.11
67.7,6946.5
67.8,7091.25
67.9,7237.31
68.0,7384.68
68.1,7533.35
68.2,7683.47
68.3,7835.23
68.4,7988.66
68.5,8144.14
68.6,8301.69
68.7,8461.12
68.8,8622.27
68.9,8785.21
69.0,8949.94
69.1,9116.44
69.2,9284.75
69.3,9454.68
69.4,9626.15
69.5,9799.37
69.6,9974.63
69.7,10151.8
69.8,10331.01
69.9,10512.61
70.0,10697.0
70.1,10884.81
70.2,11076.79
70.3,11273.37
70.4,11474.86
70.5,11682.05
70.6,11894.89
70.7,12113.1
70.8,12337.26
70.9,12568.26
71.0,12805.86
71.1,13050.38
71.2,13302.03
71.3,13560.54
71.4,13826.07
71.5,14099.28
71.6,14380.06
71.7,14668.42
71.8,14965.21
71.9,15269.29
72.0,15580.16
72.1,15898.54
72.2,16225.13
72.3,16559.22
72.4,16900.49
72.5,17249.19
72.6,17605.01
72.7,17968.07
72.8,18338.79
72.9,18716.97
73.0,19102.64
73.1,19495.91
73.2,19896.04
73.3,20302.69
73.4,20716.17
73.5,21136.62
73.6,21563.63
73.7,21997.31
73.8,22437.89
73.9,22885.06
74.0,23338.65
74.1,23798.73
74.2,24265.05
74.3,24737.28
74.4,25215.22
74.5,25698.81
74.6,26187.72
74.7,26681.71
74.8,27180.72
74.9,27684.5
75.0,28193.16
75.1,28706.87
75.2,29225.61
75.3,29749.42
75.4,30278.27
75.5,30812.55
75.6,31352.27
75.7,31897.55
75.8,32449.09
75.9,33006.77
76.0,33570.34
76.1,34139.94
76.2,34715.75
76.3,35297.64
76.4,35885.61
76.5,36479.88
76.6,37080.43
76.7,37687.26
76.8,38300.54
76.9,38919.87
77.0,39544.99
77.1,40176.19
77.2,40813.68
77.3,41457.0
77.4,42106.08
77.5,42761.19
77.6,43421.99
77.7,44088.67
77.8,44761.98
77.9,45441.31
78.0,46126.46
78.1,46817.51
78.2,47514.6
78.3,48217.51
78.4,48926.46
